Posicao,ID_Beneficiario,Pessoas_Atendidas,Capacidade,Dias_Autonomia,Manancial_Alocado
430,2686,6,16.0,133.33,73
431,938,6,16.0,133.33,20
432,1243,6,16.0,133.33,59
433,1242,6,16.0,133.33,14
434,1240,6,16.0,133.33,15
435,931,6,16.0,133.33,46
436,3102,6,16.0,133.33,52
437,1614,6,16.0,133.33,8
438,1607,6,16.0,133.33,50
439,1915,6,16.0,133.33,80
440,2068,6,16.0,133.33,5
441,2371,6,16.0,133.33,62
442,1913,6,16.0,133.33,45
443,518,6,16.0,133.33,69
444,516,6,16.0,133.33,2
445,1494,6,16.0,133.33,75
446,2910,6,16.0,133.33,11
447,1157,6,16.0,133.33,36
448,2896,6,16.0,133.33,11
449,1922,6,16.0,133.33,15
450,531,6,16.0,133.33,25
451,484,6,16.0,133.33,30
452,2681,6,16.0,133.33,51
453,2663,6,16.0,133.33,7
454,2699,6,16.0,133.33,35
455,2729,6,16.0,133.33,49
456,2423,6,16.0,133.33,19
457,2409,6,16.0,133.33,4
458,1146,6,16.0,133.33,84
459,1245,6,16.0,133.33,29
460,3272,6,16.0,133.33,82
461,814,6,16.0,133.33,60
462,2598,6,16.0,133.33,36
463,2596,6,16.0,133.33,87
464,1121,6,16.0,133.33,10
465,1418,6,16.0,133.33,7
466,873,6,16.0,133.33,11
467,895,6,16.0,133.33,36
468,2543,6,16.0,133.33,13
469,2536,6,16.0,133.33,53
470,3209,6,16.0,133.33,39
471,3208,6,16.0,133.33,76
472,2330,6,16.0,133.33,60
473,2326,6,16.0,133.33,66
474,2285,6,16.0,133.33,51
475,2315,6,16.0,133.33,91
476,806,6,16.0,133.33,23
477,1304,6,16.0,133.33,67
478,8,6,16.0,133.33,32
479,3273,6,16.0,133.33,75
480,2824,5,13.0,130.0,11
481,3024,20,52.0,130.0,72
482,1124,10,25.0,125.0,52
483,1802,8,20.0,125.0,35
484,1012,4,10.0,125.0,1
485,3025,21,52.0,123.81,39
486,2866,5,12.0,120.0,50
487,2886,5,12.0,120.0,65
488,215,22,52.0,118.18,82
489,2393,12,28.0,116.67,60
490,2522,10,23.0,115.0,56
491,3278,7,16.0,114.29,71
492,3285,7,16.0,114.29,84
493,50,7,16.0,114.29,69
494,1302,7,16.0,114.29,77
495,1216,7,16.0,114.29,57
496,2585,7,16.0,114.29,27
497,54,7,16.0,114.29,47
498,810,7,16.0,114.29,85
499,526,7,16.0,114.29,52
500,470,7,16.0,114.29,75
501,473,7,16.0,114.29,86
502,2099,7,16.0,114.29,81
503,1507,7,16.0,114.29,89
504,2365,7,16.0,114.29,13
505,498,7,16.0,114.29,30
506,2488,7,16.0,114.29,71
507,1008,7,16.0,114.29,74
508,3074,7,16.0,114.29,92
509,2521,7,16.0,114.29,15
510,136,7,16.0,114.29,70
511,2682,7,16.0,114.29,67
512,1357,7,16.0,114.29,55
513,1139,7,16.0,114.29,83
514,388,7,16.0,114.29,6
515,2695,7,16.0,114.29,3
516,2691,7,16.0,114.29,31
517,1898,7,16.0,114.29,8
518,1370,7,16.0,114.29,35
519,2915,7,16.0,114.29,55
520,934,7,16.0,114.29,51
521,1231,7,16.0,114.29,69
522,157,7,16.0,114.29,32
523,2626,7,16.0,114.29,81
524,1270,7,16.0,114.29,15
525,3214,7,16.0,114.29,39
526,1747,7,16.0,114.29,77
527,133,7,16.0,114.29,67
528,487,7,16.0,114.29,86
529,2116,7,16.0,114.29,47
530,232,7,16.0,114.29,63
531,1491,7,16.0,114.29,92
532,1885,7,16.0,114.29,61
533,1447,7,16.0,114.29,6
534,1889,7,16.0,114.29,92
535,923,7,16.0,114.29,64
536,928,7,16.0,114.29,83
537,1908,7,16.0,114.29,72
538,884,7,16.0,114.29,11
539,1909,7,16.0,114.29,45
540,1870,7,16.0,114.29,22
541,3135,7,16.0,114.29,66
542,3098,7,16.0,114.29,16
543,1244,7,16.0,114.29,57
544,2733,7,16.0,114.29,16
545,1160,7,16.0,114.29,55
546,2463,7,16.0,114.29,82
